100.886,94.1248,55.2778
84.2697,91.4634,60.4839
84.2697,91.4634,60.4839
84.0619,91.1834,60.4606
85.6542,91.8788,60.3391
87.2093,91.1772,60.0762
87.1246,89.7992,59.2526
86.8726,90.3571,58.6644
86.7052,92.0227,59.1295
87.5899,91.9105,59.6737
89.1475,91.141,60.776
89.8204,91.9571,61.5625
89.8204,91.8744,60.6983
90.4375,90.1645,60.7558
91.7605,89.8047,64.6925
93.1081,91.6464,69.0724
94.3291,93.1426,71.9005
95.8003,93.4519,72.0397
97.5119,92.3365,69.9949
98.7457,91.5574,67.3286
98.904,92.0669,65.0251
98.3437,92.2745,64.196
98.3075,92.7285,62.906
98.8313,94.4017,61.0068
99.0789,95.7123,59.2666
98.8157,95.2184,57.7952
98.2998,95.2685,56.9915
97.7311,96.3945,57.7653
97.6471,96.8731,58.2358
97.7922,97.1613,57.462
97.2974,97.054,56.8552
96.2042,97.7903,57.5159
95.2318,98.6842,58.1395
94.9367,98.6842,59.7941
95.0867,98.8201,61.4044
95.389,99.1469,59.9769
95.5414,99.3377,58.5938
95.2439,99.3377,58.4807
94.9415,99.3377,58.3667
95.3557,99.1469,59.4716
96.3423,98.9404,60.6531
97.1563,99.0789,59.8142
97.4026,98.9587,58.8616
96.7028,99.3053,58.3032
96.5516,99.7168,57.7376
97.9837,99.4225,59.0713
98.9879,99.7811,60.7129
97.6312,101.133,59.9371
95.4064,102.041,58.7462
93.8603,101.372,58.88
93.0552,100.954,59.2274
94.6012,101.278,60.9969
95.8476,101.495,63.1322
95.7692,101.839,62.1569
95.9236,102.041,60.6192
95.7692,102.041,59.9292
95.9211,102.041,59.3316
95.8501,102.041,60.5066
94.6703,102.228,61.8541
93.0993,102.578,61.0235
91.972,102.67,60.0317
91.7821,102.32,59.5427
91.7911,102.041,59.0702
90.807,102.041,60.1878
89.3196,101.581,61.398
88.1511,101.059,60.8681
88.7762,101.174,60.2508
90.2265,101.166,59.8853
90.8066,99.5098,59.5267
